?"index", "key"                                                   , "keySource"                                                             , "text"                                                 , "tag", "frameUrl"                                          , "visible", "locatorSuggested"                                                      , "id", "class"    , "href"              , "onclick", "data_modulo_funcao"     , "data_modulo", "data_funcao"         , "data_href"                                                                                                                                                                                                       , "data_tipo_funcao", "data_tipo_link"
"6"    , "k_12_CTM16_3_1"                                        , "12.CTM16.3.1"                                                          , "2ª Via de Recibo Entrega"                            , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""12.CTM16.3.1""]')"                 ,     , "item-menu", "javascript:void(0)",          , "12.CTM16.3.1"           , "12"         , "CTM16.3.1"           , "/ace/mvcToAsp.asp?../../ctm/asp/ctm1110a.asp$$$p=&PT=2ª Via de Recibo de Entrega&pm=12&pcf=CTM16.3.1&pprf=SINISTRO_AVISO,TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=N,N,N,N,N,S&tipoFuncao=X"                               , "X"               , "link"
"7"    , "k_210_FATTISS50_2"                                     , "210.FATTISS50.2"                                                       , "2a via recibo entrega"                                , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""210.FATTISS50.2""]')"              ,     , "item-menu", "javascript:void(0)",          , "210.FATTISS50.2"        , "210"        , "FATTISS50.2"         , "/TSNMVC/FaturamentoTISS/ContasMedicas/SegundaViaRecibo?PT=2a via recibo entrega&pm=210&pcf=FATTISS50.2&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=S,S,S,S,N,N&tipoFuncao=A"                                             , "A"               , "link"
"8"    , "k_210_FATTISS52_3"                                     , "210.FATTISS52.3"                                                       , "2a via recibo entrega"                                , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""210.FATTISS52.3""]')"              ,     , "item-menu", "javascript:void(0)",          , "210.FATTISS52.3"        , "210"        , "FATTISS52.3"         , "/TSNMVC/FaturamentoTISS/ContasMedicas/SegundaViaRecibo?indUso=R&PT=2a via recibo entrega&pm=210&pcf=FATTISS52.3&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=S,S,S,S,N,N&tipoFuncao=A"                                    , "A"               , "link"
"9"    , "k_12_CTM8_20"                                          , "12.CTM8.20"                                                            , "2ª via recibo entrega"                               , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""12.CTM8.20""]')"                   ,     , "item-menu", "javascript:void(0)",          , "12.CTM8.20"             , "12"         , "CTM8.20"             , "/ace/mvcToAsp.asp?../../CTM/ASP/ctm0003a.asp$$$p=&PT=2ª via recibo entrega&pm=12&pcf=CTM8.20&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR,SINISTRO_AVISO&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                       , "X"               , "link"
"10"   , "k_12_CTM17_3_1"                                        , "12.CTM17.3.1"                                                          , "2ª via recibo entrega"                               , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""12.CTM17.3.1""]')"                 ,     , "item-menu", "javascript:void(0)",          , "12.CTM17.3.1"           , "12"         , "CTM17.3.1"           , "/ace/mvcToAsp.asp?../../CTM/ASP/ctm0003a.asp$$$p=&PT=2ª via recibo entrega&pm=12&pcf=CTM17.3.1&pprf=INTERCAMBIO_ANALISE,ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                , "X"               , "link"
"11"   , "k_4_FAT1_1"                                            , "4.FAT1-1"                                                              , "Abertura"                                             , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""4.FAT1-1""]')"                     ,     , "item-menu", "javascript:void(0)",          , "4.FAT1-1"               , "4"          , "FAT1-1"              , "/ace/mvcToAsp.asp?../../fat/asp/fat0001a.asp$$$p=&PT=Abertura Ciclo&pm=4&pcf=FAT1-1&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                                                , "X"               , "link"
"12"   , "k_45_WRK1"                                             , "45.WRK1"                                                               , "Abertura"                                             , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""45.WRK1""]')"                      ,     , "item-menu", "javascript:void(0)",          , "45.WRK1"                , "45"         , "WRK1"                , "/ace/mvcToAsp.asp?/wrk/asp/wrk0025a.asp$$$p=&PT=Abertura&pm=45&pcf=WRK1&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN,TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                                  , "X"               , "link"
"13"   , "k_156_INC156_3_1"                                      , "156.INC156.3.1"                                                        , "Abertura de Pedido"                                   , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""156.INC156.3.1""]')"               ,     , "item-menu", "javascript:void(0)",          , "156.INC156.3.1"         , "156"        , "INC156.3.1"          , "/TSNMVC/IntercambioCobrar/AberturaRevisao?PT=Abertura de Pedido&pm=156&pcf=INC156.3.1&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                                              , "X"               , "link"
"14"   , "k_12_CTM12_1_27"                                       , "12.CTM12.1.27"                                                         , "Abertura de Referência"                              , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""12.CTM12.1.27""]')"                ,     , "item-menu", "javascript:void(0)",          , "12.CTM12.1.27"          , "12"         , "CTM12.1.27"          , "/TSNMVC/ContasMedicas/AberturaReferencia?PT=Abertura Referência&pm=12&pcf=CTM12.1.27&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                                              , "X"               , "link"
"15"   , "k_156_INC156_1_2"                                      , "156.INC156.1.2"                                                        , "Abertura de Referência"                              , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""156.INC156.1.2""]')"               ,     , "item-menu", "javascript:void(0)",          , "156.INC156.1.2"         , "156"        , "INC156.1.2"          , "/TSNMVC/IntercambioCobrar/AberturaReferencia?PT=Abertura de Referência&pm=156&pcf=INC156.1.2&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                                      , "X"               , "link"
